City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,maun,-19.9833,23.4167,24.54,57,9,4.79,BW,1707694698
230,taoudenni,22.6783,-3.9836,24.02,23,0,4.25,ML,1707694699
231,alaghsas,17.0187,8.0168,22.07,9,0,3.24,NE,1707694699
232,buritis,-15.6178,-46.4233,20.92,95,89,0.76,BR,1707694699
233,buka,40.8108,69.1986,7.84,54,0,1.19,UZ,1707694699
234,labrador city,52.9463,-66.9114,-8.05,87,100,5.66,CA,1707694699
235,enewetak,11.3474,162.3373,26.09,79,100,10.26,MH,1707694699
236,kalmunai,7.4167,81.8167,24.58,85,47,3.6,LK,1707694699
237,kismayo,-0.3582,42.5454,26.22,84,80,5.26,SO,1707694700
238,lautoka,-17.6167,177.4667,30.92,74,75,7.72,FJ,1707694700
239,kununurra,-15.7667,128.7333,25.99,94,75,1.54,AU,1707694700
240,mugia,43.1041,-9.2179,14.95,89,55,11.9,ES,1707694700
241,khovd,48.0056,91.6419,-3.89,62,79,3.89,MN,1707694700
242,gardnerville ranchos,38.8882,-119.7413,9.77,47,0,0.89,US,1707694700
243,ambalangoda,6.2355,80.0538,24.59,87,50,3.3,LK,1707694700
244,ugoofaaru,5.6667,73.0,27.91,72,93,6.13,MV,1707694700
245,port blair,11.6667,92.75,28.02,78,40,2.06,IN,1707694701
246,igarka,67.4667,86.5833,-32.05,90,10,2.7,RU,1707694701
247,boa vista,2.8197,-60.6733,31.99,40,0,5.66,BR,1707694701
248,broken hill,-31.95,141.4333,32.27,30,0,3.15,AU,1707694701
249,yuzhno-kurilsk,44.0306,145.8556,-7.57,81,68,4.17,RU,1707694701
250,montepuez,-13.1256,38.9997,21.24,99,100,1.57,MZ,1707694701
251,bergama,39.1207,27.1805,13.75,70,100,7.1,TR,1707694701
252,bikin,46.8161,134.26,-12.65,93,88,3.39,RU,1707694701
253,east london,-33.0153,27.9116,19.79,77,15,5.09,ZA,1707694702
254,south lake tahoe,38.9332,-119.9844,7.03,51,0,2.57,US,1707694593
255,margate,51.3813,1.3862,6.6,87,23,0.45,GB,1707694559
256,sinop,41.7711,34.8709,9.32,64,100,3.39,TR,1707694702
257,lander,42.833,-108.7307,-1.55,55,0,0.0,US,1707694702
258,fale old settlement,-9.3852,-171.2468,28.1,81,100,6.58,TK,1707694702
259,pemba,-12.974,40.5178,25.39,94,75,2.57,MZ,1707694702
260,dugulubgey,43.6625,43.5369,7.89,66,100,2.0,RU,1707694702
261,ermelo,-26.5333,29.9833,10.81,99,24,1.84,ZA,1707694703
262,priozersk,61.0393,30.1291,-8.92,84,63,3.57,RU,1707694703
263,nyala,12.05,24.8833,21.77,14,0,6.69,SD,1707694703
264,camana,-16.6228,-72.7111,25.14,77,100,2.57,PE,1707694703
265,lembang,-6.8117,107.6175,18.2,94,100,0.45,ID,1707694703
266,kibondo,-3.5864,30.7203,16.23,96,96,1.33,TZ,1707694703
267,tefenni,37.3097,29.7754,4.97,92,100,3.31,TR,1707694703
268,mount isa,-20.7333,139.5,29.87,62,16,0.0,AU,1707694496
269,mahibadhoo,3.7833,72.9667,27.97,73,68,8.75,MV,1707694704
270,koulikoro,14.0,-7.75,23.36,10,0,3.57,ML,1707694704
271,nogliki,51.8333,143.1667,-22.03,100,80,2.24,RU,1707694704
272,cole harbour,44.6724,-63.4751,4.66,92,100,3.02,CA,1707694704
273,alo,7.4178,6.7371,30.64,30,17,1.33,NG,1707694704
274,berezovyy,51.6667,135.7,-13.2,79,100,1.68,RU,1707694704
275,seaside,36.6111,-121.8516,17.32,76,0,4.63,US,1707694620
276,hami,42.8,93.45,-0.23,52,0,3.07,CN,1707694705
277,portland,45.5234,-122.6762,13.02,81,100,3.58,US,1707694132
278,inhambane,-23.865,35.3833,24.46,66,61,5.01,MZ,1707694705
279,bubaque,11.2833,-15.8333,26.31,64,0,6.38,GW,1707694705
280,qaqortoq,60.7167,-46.0333,-15.14,73,86,2.54,GL,1707694705
281,nueva gerona,21.8833,-82.8,24.63,77,83,6.71,CU,1707694705
282,hadibu,12.65,54.0333,25.64,70,12,4.7,YE,1707694705
283,uaua,-9.8414,-39.4817,23.26,87,97,6.93,BR,1707694706
284,jamestown,42.097,-79.2353,0.77,85,100,0.45,US,1707694571
285,ciudad lazaro cardenas,17.9583,-102.2,25.9,64,0,3.69,MX,1707694706
286,vadso,70.0744,29.7487,-7.91,79,75,4.12,NO,1707694706
287,lerwick,60.1545,-1.1494,4.0,98,100,10.56,GB,1707694706
288,kittila,67.6647,24.8936,-25.92,76,100,0.51,FI,1707694706
289,horta,38.5333,-28.6333,16.68,89,0,8.49,PT,1707694706
290,ryotsu-minato,38.0833,138.4333,5.43,53,79,5.08,JP,1707694706
291,katabu,-4.9333,122.5167,27.44,83,87,2.45,ID,1707694706
292,vorgashor,67.5833,63.95,-33.21,100,100,1.84,RU,1707694707
293,villa gesell,-37.2639,-56.973,25.59,84,86,5.69,AR,1707694707
294,albertina,-22.2008,-46.6158,21.05,74,35,2.45,BR,1707694707
295,puerto colombia,10.9878,-74.9547,29.05,77,58,9.85,CO,1707694707
296,namibe,-15.1961,12.1522,27.06,73,100,0.42,AO,1707694707
297,xiaoweizhai,26.1903,107.5125,7.47,74,5,1.91,CN,1707694707
298,aban,56.67,96.06,-14.32,89,100,4.3,RU,1707694707
299,kingscliff,-28.2667,153.5667,27.75,65,100,5.14,AU,1707694707
300,berdigestyakh,62.0989,126.6992,-25.79,98,100,3.4,RU,1707694708
301,pitimbu,-7.4706,-34.8086,26.33,78,72,5.33,BR,1707694708
302,argo,37.6333,22.7333,12.82,92,100,2.61,GR,1707694708
303,mejit,10.2753,170.8646,26.36,77,100,10.55,MH,1707694708
304,vila velha,-20.3297,-40.2925,25.97,91,40,2.06,BR,1707694708
305,ancud,-41.8697,-73.8203,13.11,68,40,2.25,CL,1707694708
306,scarborough,54.2797,-0.4044,5.92,90,21,1.34,GB,1707694654
307,kidal,18.4411,1.4078,23.83,8,0,2.71,ML,1707694708
308,constantia,44.1833,28.65,13.38,63,97,9.69,RO,1707694708
309,labytnangi,66.6572,66.4183,-29.04,87,14,3.65,RU,1707694709
310,poronaysk,49.2167,143.1167,-17.95,93,46,1.39,RU,1707694709
311,perry,37.2506,-83.1999,14.1,89,100,1.94,US,1707694511
312,barabai,-2.5833,115.3833,23.08,99,100,0.8,ID,1707694709
313,mitu,1.1983,-70.1733,23.11,94,97,1.17,CO,1707694709
314,merizo village,13.2658,144.6691,28.88,73,64,8.58,GU,1707694709
315,elkins,38.9259,-79.8467,9.4,94,100,2.06,US,1707694709
316,peace river,56.2501,-117.286,2.17,60,20,3.6,CA,1707694709
317,happy valley-goose bay,53.3168,-60.3315,-0.83,100,75,1.54,CA,1707694710
318,askoy,60.4092,5.226,3.75,100,75,0.51,NO,1707694710
319,lluta,-16.0147,-72.0142,11.44,87,100,0.97,PE,1707694710
320,hafar al-batin,28.4328,45.9708,13.32,100,75,4.12,SA,1707694710
321,tongchuanshi,35.0806,109.0897,5.09,51,0,1.04,CN,1707694710
322,vilyuchinsk,52.9306,158.4028,-16.71,78,7,2.68,RU,1707694710
323,tobruk,32.0836,23.9764,17.84,45,79,9.1,LY,1707694710
324,nova vicosa,-17.8919,-39.3719,25.48,88,14,2.73,BR,1707694711
325,kushiro,42.975,144.3747,-8.47,86,20,2.57,JP,1707694711
326,geraldton,-28.7667,114.6,22.23,88,0,6.17,AU,1707694711
327,duong dong,10.2167,103.9667,25.0,88,0,6.69,VN,1707694711
328,doka,13.5167,35.7667,22.71,31,4,3.56,SD,1707694711
329,warrnambool,-38.3833,142.4833,24.5,47,1,1.53,AU,1707694711
330,neryungri,56.6709,124.6491,-18.06,99,100,1.26,RU,1707694711
331,ar raqqah,35.95,39.0167,13.04,68,75,1.92,SY,1707694711
332,hameenlinna,60.996,24.4643,-11.59,89,59,3.0,FI,1707694712
333,nampula,-15.1165,39.2666,23.97,94,75,3.09,MZ,1707694712
334,sao joao da barra,-21.6403,-41.0511,26.05,89,0,3.45,BR,1707694712
335,santa sylvina,-27.8326,-61.1375,30.59,45,65,3.74,AR,1707694712
336,ghadamis,30.1337,9.5007,14.52,41,6,2.3,LY,1707694712
337,kilindoni,-7.9139,39.6668,28.47,79,98,5.61,TZ,1707694712
338,pacocha,-17.5833,-71.3333,22.15,85,100,1.56,PE,1707694712
339,castillos,-34.1667,-53.8333,23.48,90,0,3.84,UY,1707694712
340,jianguang,28.1938,115.7836,8.59,79,0,1.73,CN,1707694712
341,trairi,-3.2778,-39.2689,25.7,90,95,2.94,BR,1707694606
342,barcelos,41.5388,-8.6151,15.08,98,97,1.41,PT,1707694713
343,broome,42.2506,-75.833,2.54,82,100,1.54,US,1707694713
344,bonthe,7.5264,-12.505,26.59,84,25,3.29,SL,1707694713
345,dryden,49.7833,-92.7503,-6.84,79,100,2.57,CA,1707694713
346,khandyga,62.6667,135.6,-35.78,94,37,1.39,RU,1707694713
347,san patricio,28.017,-97.5169,25.97,50,0,6.25,US,1707694713
348,illizi,26.4833,8.4667,16.89,35,78,1.84,DZ,1707694713
349,lazaro cardenas,17.9583,-102.2,25.9,64,0,3.69,MX,1707694706
350,leninskoye,41.7589,69.3864,5.29,70,49,1.8,KZ,1707694714
351,wailua homesteads,22.0669,-159.378,25.44,68,20,5.14,US,1707694714
352,makakilo city,21.3469,-158.0858,25.88,70,100,6.17,US,1707694714
353,howrah,22.5892,88.3103,18.0,68,40,1.54,IN,1707694714
354,okhotsk,59.3833,143.3,-28.83,89,78,2.31,RU,1707694714
355,cabedelo,-6.9811,-34.8339,26.37,82,29,3.58,BR,1707694714
356,kafanchan,9.5833,8.3,23.84,25,1,1.84,NG,1707694715
357,bei'an,24.5399,109.533,12.03,64,4,0.95,CN,1707694715
358,cobram,-35.9167,145.65,32.23,31,0,5.12,AU,1707694715
359,harper,4.375,-7.7169,27.17,87,85,3.43,LR,1707694715
360,wewak,-3.5534,143.6268,27.79,79,98,2.7,PG,1707694715
361,alta,69.9689,23.2717,-13.41,92,88,1.54,NO,1707694715
362,chegdomyn,51.1167,133.0167,-12.08,95,100,0.07,RU,1707694715
363,itoman,26.1247,127.6694,16.72,51,75,5.66,JP,1707694715
